uye,unvan,temsilci,gorev_bitis_tarihi,atandigi_tarih,atandigi_sayi,pdf_link
AYDEM HOLDING ANONIM SIRKETI,,,8.9.2028,2025-09-11,11413,"data\8) 11-09-2025 Yonetim Kurulu Atama Gorevden Alma, Temsilci ve Yetkili Kisi Atanmasi, Yonetim Kurulu Ic Yonergesi.pdf"
ZEKERIYA AKCAN,,,3.3.2028,2024-09-13,11164,"data\5) 13-09-2024 Yonetim Kurulu Atama Gorevden Alma, Temsilci ve Yetkili Kisi Atanmasi.pdf"
